DocId,phase,occupation,occupation_code,level,level_code,year,step,year_source,month,end,profile,position,Institution,sublevel,category_final,sector_code,Code,category_main,category,city,province_country,area,area2,area_code
imh-11-317,POST-US,consulting-professional,O6,Mid-level,L3,1913,3,1913,NA,1914,consulting,Auditor,Bureau of Audit,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-325,POST-US,managerial,O3,Senior,L4,1914,6,1914,NA,1917,managerial,Chief of Department,National Oil Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-327,POST-US,administrative,O2,Mid-level,L3,1910,1,1910,NA,1911,administrative,Officer,Bureau of Terminology,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-334,POST-US,administrative,O2,Senior,L4,1913,4,1913,NA,NA,administrative,Chief Inspector,Central Salt Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-351,POST-US,administrative,O2,Junior,L2,1913,3,1913,NA,1914,administrative,Assistant English Secretary,Salt Revenues Administration,Chief Inspectorate of Salt Revenues,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-351,POST-US,administrative,O2,Mid-level,L3,1915,5,1915,NA,NA,administrative,Chinese Secretary,Salt Revenues Administration,Chief Inspectorate of Salt Revenues,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-352,POST-US,administrative,O2,Mid-level,L3,1914,1,1914,NA,NA,administrative,Officer,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-361,POST-US,managerial,O3,Executive,L5,1913,2,1913,NA,1915,managerial,Resident Director,Salt Revenues Administration,Chief Inspectorate of Salt Revenues,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-361,POST-US,consulting-professional,O6,Senior,L4,1915,3,1915,NA,1916,consulting,Councillor,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-361,POST-US,administrative,O2,Mid-level,L3,1916,4,1916,NA,NA,administrative,Secretary,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-5,POST-US,administrative,O2,Mid-level,L3,1913,1,1913,NA,1914,administrative,Translator,Central Salt Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-53,POST-US,managerial,O3,Mid-level,L3,1914,1,1914,NA,1915,managerial,Manager,National Oil Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-71,POST-US,administrative,O2,Mid-level,L3,1911,1,1911,NA,NA,administrative,Officer,Bureau of Law Compilation,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-89,POST-US,administrative,O2,Mid-level,L3,1911,3,1911,NA,NA,administrative,Officer,Bureau of Legislation,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-89,POST-US,consulting-professional,O6,Senior,L4,1912,4,1912,NA,NA,consulting,Councillor,Bureau of Legislation,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-9,POST-US,managerial,O3,Executive,L5,1916,6,NA,NA,1917,managerial,Director,Railway Finance and Accounts,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-351,POST-US,administrative,O2,Mid-level,L3,1914,4,1914,NA,1915,administrative,District Inspector,Salt Revenues Administration,Yunnan District,administration: central,ADMC,ADMC,administration,administration: central,NA,Yunnan,Other,North-Northeast,N2
imh-11-183,POST-US,technical,O5,Mid-level,L3,1881,1,1881,NA,1913,technical,Telegraph Operator,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,administrative,O2,Junior,L2,1886,2,1881,NA,1913,administrative,Clerk-in-Chief,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,managerial,O3,Senior,L4,1893,3,1881,NA,1913,managerial,Superintendent,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,managerial,O3,Senior,L4,1898,4,1881,NA,1913,managerial,Chief Superintendent,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,managerial,O3,Senior,L4,1903,5,1881,NA,1913,managerial,General Manager,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,managerial,O3,Senior,L4,1908,6,1881,NA,1913,managerial,Assistant Director-General,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,managerial,O3,Top Executive,L6,1913,7,1881,NA,1913,managerial,Director-General,Chinese Telegraph Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-271,POST-US,technical,O5,Senior,L4,1914,12,1914,NA,NA,technical,Chief Cashier,Redemption of Notes,NA,administration: central,ADMC,ADMC,administration,administration: central,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-271,POST-US,managerial,O3,Executive,L5,1914,13,1914,NA,NA,managerial,Co-Director,Bureau of Currency and Banking,NA,administration: central,ADMC,ADMC,administration,administration: central,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-385,POST-US,administrative,O2,Mid-level,L3,1911,1,1911,NA,NA,administrative,Officer,Law Compilation Bureau,NA,administration: central,ADMC,ADMC,administration,administration: central,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-67,POST-US,administrative,O2,Senior,L4,1914,1,1914,NA,1917,administrative,Chief Secretary,Salt Revenues Administration,Liangche Inspectorate,administration: central,ADMC,ADMC,administration,administration: central,Hangzhou,Zhejiang,Other,Jiangnan,S3
imh-11-102,POST-US,administrative,O2,Mid-level,L3,1916,3,1916,NA,1916,administrative,Officer in Charge,Salt Revenues Administration,Shao-Hsing Office,administration: central,ADMC,ADMC,administration,administration: central,Shaoxing,Zhejiang,Other,Jiangnan,S3
imh-11-59,POST-US,administrative,O2,Mid-level,L3,1915,1,1915,NA,NA,administrative,Secretary,Salt Revenues Administration,Sungkiang District Inspectorate,administration: central,ADMC,ADMC,administration,administration: central,Songjiang,Jiangsu,Other,Jiangnan,S3
imh-11-10,POST-US,managerial,O3,Senior,L4,1917,5,1917,NA,NA,managerial,Chairman,Civil and Criminal Code Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-175,POST-US,technical,O5,Mid-level,L3,1913,2,1913,NA,1914,technical,Commission member,Currency Reform Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-193,POST-US,managerial,O3,Senior,L4,1909,6,NA,NA,NA,managerial,Chairman,Currency Reform Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-271,POST-US,technical,O5,Mid-level,L3,1913,8,1913,NA,NA,technical,Commission member,Currency Reform Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-271,POST-US,technical,O5,Mid-level,L3,1913,9,1913,NA,NA,technical,Commission member,Commission for Rectification of Indemnity Claims against China,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-271,POST-US,technical,O5,Mid-level,L3,1915,14,1915,NA,NA,technical,Officer,Currency Reform Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-297,POST-US,administrative,O2,Mid-level,L3,1916,2,1916,NA,NA,administrative,Secretary,Industrial and Commercial Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-314,POST-US,administrative,O2,Mid-level,L3,1910,2,NA,NA,NA,administrative,Secretary,Commission on the Unification of Railway Accounts and Statistics,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-323,POST-US,technical,O5,Mid-level,L3,1913,1,1913,NA,NA,technical,Commission member,Commission on the Unification of Railway Accounts and Statistics,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-344,POST-US,technical,O5,Mid-level,L3,1913,4,1913,NA,1916,technical,Commission member,Commission on the Unification of Railway Accounts and Statistics,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-40,POST-US,technical,O5,Mid-level,L3,1912,4,1912,NA,NA,technical,Commission member,Currency Reform Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-48,POST-US,technical,O5,Mid-level,L3,1913,2,1913,NA,NA,technical,Commission member,Commission on the Unification of Railway Accounts and Statistics,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-82,POST-US,technical,O5,Mid-level,L3,1911,2,1910,NA,1917,technical,Commission member,Currency Reform Commission,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-9,POST-US,managerial,O3,Top Executive,L6,1916,9,NA,NA,1917,managerial,Vice-Chairman,Commission on the Unification of Railway Accounts and Statistics,NA,administration: commission,ADMC,ADMC,administration,administration: commission,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-224,POST-US,technical,O5,Mid-level,L3,1911,2,1911,NA,1911,technical,Commission member,Industrial Commission to Europe and America,NA,administration: commission,ADMC,ADMC,administration,administration: commission,NA,NA,Abroad,America,O1
imh-11-229,POST-US,abroad,O7,Mid-level,L3,1913,4,1913,NA,NA,abroad,Commission member,Financial Commission to Europe,NA,administration: commission,ADMC,ADMC,administration,administration: commission,London,England,Abroad,Europe,O3
imh-11-193,POST-US,abroad,O7,Mid-level,L3,1915,14,NA,NA,NA,abroad,Commission member,Financial Commission to Europe,NA,administration: commission,ADMC,ADMC,administration,administration: commission,NA,Europe,Abroad,Europe,O3
imh-11-40,POST-US,abroad,O7,Mid-level,L3,1913,5,1912,NA,1914,abroad,Commission member,Financial Commission to Europe,NA,administration: commission,ADMC,ADMC,administration,administration: commission,NA,Europe,Abroad,Europe,O3
imh-11-117,POST-US,managerial,O3,Senior,L4,1912,4,1912,NA,1913,managerial,Chief,Anking Bureau of Foreign Affairs,NA,administration: local,ADML,ADML,administration,administration: local,Anqing,Anhui,Other,Central,C1
imh-11-91,POST-US,managerial,O3,Executive,L5,1914,1,1915,NA,NA,managerial,Director,Anking Bureau of Forestry,NA,administration: local,ADML,ADML,administration,administration: local,Anqing,Anhui,Other,Central,C1
imh-11-339,POST-US,technical,O5,Senior,L4,1915,1,1915,NA,NA,technical,Supervising Electrical Engineer,Hunan Telephone Administration,NA,administration: local,ADML,ADML,administration,administration: local,Changsha,Hunan,Other,Central,C1
imh-11-161,POST-US,official,O4,Senior,L4,1903,3,1903,NA,NA,official,Taotai,Hankow Circuit,NA,administration: local,ADML,ADML,administration,administration: local,Hankou,Hubei,Other,Central,C1
imh-11-175,POST-US,managerial,O3,Senior,L4,1914,3,1913,NA,1916,managerial,Chief,Hankow Public Land Bureau,NA,administration: local,ADML,ADML,administration,administration: local,Hankou,Hubei,Other,Central,C1
imh-11-219,POST-US,managerial,O3,Executive,L5,1913,3,NA,NA,NA,managerial,Acting Director,Hupeh Bureau of Foreign Affairs,NA,administration: local,ADML,ADML,administration,administration: local,Hankou,Hubei,Other,Central,C1
imh-11-14,POST-US,managerial,O3,Senior,L4,1912,1,1912,NA,NA,managerial,Department Head,Wuchang Bureau of Foreign Affairs,NA,administration: local,ADML,ADML,administration,administration: local,Wuchang,Hubei,Other,Central,C1
imh-11-300,POST-US,consulting-professional,O6,Senior,L4,1912,1,1912,NA,1913,consulting,Councillor,Wuchang Bureau of Industries,NA,administration: local,ADML,ADML,administration,administration: local,Wuchang,Hubei,Other,Central,C1
imh-11-271,POST-US,administrative,O2,Mid-level,L3,1912,6,1912,NA,NA,administrative,Inspector,Finance Inspector to Hupeh,NA,administration: local,ADML,ADML,administration,administration: local,NA,Hubei,Other,Central,C1
imh-11-96,POST-US,technical,O5,Mid-level,L3,1916,2,1914,NA,NA,technical,Geologist,Hupeh Bureau of Mines,NA,administration: local,ADML,ADML,administration,administration: local,NA,Hunan,Other,Central,C1
imh-11-312,POST-US,technical,O5,Mid-level,L3,1916,4,1915,NA,NA,technical,Technical Expert,Chengtu Finance Bureau,NA,administration: local,ADML,ADML,administration,administration: local,Chengdu,Sichuan,Other,West,C2
imh-11-104,POST-US,technical,O5,Mid-level,L3,1915,1,1915,NA,1916,technical,Engineer,Bureau of Municipal Administration,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-123,POST-US,technical,O5,Junior,L2,1914,1,1914,NA,1915,technical,Assistant Electrical Engineer,Chinese Government Telephone Administration,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-123,POST-US,technical,O5,Senior,L4,1915,2,1916,NA,NA,technical,Chief Engineer,Chinese Government Telephone Administration,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-123,POST-US,managerial,O3,Executive,L5,1916,3,1916,NA,NA,managerial,Acting Superintendent,Chinese Government Telephone Administration,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-16,POST-US,technical,O5,Mid-level,L3,1914,1,1914,NA,1915,technical,Technical Expert,Peking First District Mining Office,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-173,POST-US,technical,O5,Mid-level,L3,1915,2,1915,NA,NA,technical,Engineer,Peking Telephone Administration,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-185,POST-US,technical,O5,Mid-level,L3,1915,1,1915,NA,NA,technical,Sanitary Engineer,Peking Bureau of Municipal Administration,Department of Sanitary Engineering,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-188,POST-US,administrative,O2,Mid-level,L3,1916,2,1915,NA,NA,administrative,Officer,Peking Arsenal Administration,NA,administration: local,ADML,ADML,administration,administration: local,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-309,POST-US,technical,O5,Mid-level,L3,1914,4,1914,NA,NA,technical,Technical Expert,National Conservancy Bureau,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-117,POST-US,managerial,O3,Executive,L5,1908,1,1908,NA,1909,managerial,Co-Director,Tientsin Foreign Office,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-128,POST-US,managerial,O3,Executive,L5,1913,6,1912,NA,NA,managerial,Assistant General Manager,Kailan Mining Administration,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-132,POST-US,administrative,O2,Mid-level,L3,1911,1,1911,NA,1913,administrative,Secretary,Tientsin Bureau of Foreign Affairs,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-161,POST-US,official,O4,Senior,L4,1904,4,1904,NA,1907,official,Taotai,Tientsin Circuit,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-162,POST-US,managerial,O3,Senior,L4,1882,2,NA,NA,NA,managerial,Superintendent,Tientsin Customs,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-179,POST-US,administrative,O2,Junior,L2,1882,1,1882,NA,NA,administrative,Assistant,Korean Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-179,POST-US,official,O4,Senior,L4,1900,3,1900,NA,NA,official,Taotai,Tientsin Customs,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-230,POST-US,technical,O5,Mid-level,L3,1915,1,1915,NA,NA,technical,Chemist,Peiyang Plague Prevention Bureau,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-230,POST-US,administrative,O2,Mid-level,L3,1916,3,1916,NA,NA,administrative,English Secretary,Bureau of Foreign Affairs,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-230,POST-US,consulting-professional,O6,Senior,L4,1916,4,1916,NA,NA,consulting,Adviser,Tientsin Chief of Police,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-267,POST-US,administrative,O2,Mid-level,L3,1911,1,1911,NA,1911,administrative,Secretary,Kailan Mining Administration,NA,administration: local,ADML,ADML,administration,administration: local,Tianjin,Hebei,Beijing-Tianjin,Tianjin,N1
imh-11-342,POST-US,official,O4,Senior,L4,1906,8,1905,NA,NA,official,Expectant Taotai,Chihli Circuit,NA,administration: local,ADML,ADML,administration,administration: local,NA,Zhili,Beijing-Tianjin,Beijing,N1
imh-11-55,POST-US,consulting-professional,O6,Mid-level,L3,1916,3,1916,NA,NA,consulting,District Auditor,Chili and Shanghai Telegraph Administration,NA,administration: local,ADML,ADML,administration,administration: local,NA,Zhili,Beijing-Tianjin,Beijing,N1
imh-11-127,POST-US,official,O4,Senior,L4,1908,6,1908,NA,1910,official,Taotai,Harbin Customs,NA,administration: local,ADML,ADML,administration,administration: local,Harbin,Heilongjiang,Other,North-Northeast,N2
imh-11-140,POST-US,managerial,O3,Executive,L5,1908,2,1908,NA,1910,managerial,Director,Mukden Mining Bureau,NA,administration: local,ADML,ADML,administration,administration: local,Shenyang,Liaoning,Other,North-Northeast,N2
imh-11-4,POST-US,administrative,O2,Mid-level,L3,1908,5,1908,NA,1909,administrative,Officer,"Mukden Bureau of Agriculture, Industry and Commerce",NA,administration: local,ADML,ADML,administration,administration: local,Shenyang,Liaoning,Other,North-Northeast,N2
imh-11-344,POST-US,managerial,O3,Senior,L4,1912,3,1912,NA,1913,managerial,Chief,Chefoo Bureau of Foreign Affairs,NA,administration: local,ADML,ADML,administration,administration: local,Zhifu,Shandong,Other,North-Northeast,N2
imh-11-374,POST-US,managerial,O3,Executive,L5,1912,2,1912,NA,NA,managerial,Director,Kirin Bureau of Forestry,NA,administration: local,ADML,ADML,administration,administration: local,NA,Jilin,Other,North-Northeast,N2
imh-11-0,POST-US,administrative,O2,Junior,L2,1885,2,1885,NA,NA,administrative,Clerk,Shanghai Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-0,POST-US,administrative,O2,Mid-level,L3,1908,3,1908,NA,NA,administrative,Acting Deputy Commissioner,Shanghai Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-0,POST-US,technical,O5,Mid-level,L3,1908,4,1908,NA,NA,technical,Assistant Statistical Secretary,Shanghai Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-0,POST-US,administrative,O2,Senior,L4,1917,5,1917,NA,NA,administrative,Chief Assistant,Shanghai Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,managerial,O3,Senior,L4,1916,10,NA,NA,1911,managerial,Superintendent,Shanghai Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-183,POST-US,official,O4,Senior,L4,1917,11,NA,NA,1911,official,Expectant Taotai,Shanghai Circuit,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-192,POST-US,consulting-professional,O6,Mid-level,L3,1910,3,1910,NA,NA,other,Medical Officer,Shanghai Maritime Customs,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-296,POST-US,administrative,O2,Mid-level,L3,1912,3,1912,NA,NA,administrative,Second Officer,Shanghai General Staff,NA,administration: local,ADML,ADML,administration,administration: local,Shanghai,Jiangsu,Shanghai-Guangzhou,Shanghai,S1
imh-11-131,POST-US,technical,O5,Junior,L2,1915,2,1915,NA,NA,technical,Assistant Engineer,Board of Conservancy,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-195,POST-US,consulting-professional,O6,Senior,L4,1915,2,1915,NA,NA,board,Board member,Board of Conservancy,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-249,POST-US,managerial,O3,Senior,L4,1912,6,1914,NA,NA,managerial,Superintendent of Chariy,NA,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-271,POST-US,managerial,O3,Senior,L4,1914,11,1914,NA,NA,managerial,Assistant Director,Stamp Tax Bureau,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-282,POST-US,administrative,O2,Mid-level,L3,1911,2,1911,NA,1912,administrative,Treasurer,Canton Department of Public Works,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-371,POST-US,managerial,O3,Executive,L5,1913,3,1912,NA,1915,managerial,Director,Canton Mining Bureau,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
imh-11-4,POST-US,administrative,O2,Junior,L2,1885,2,1882,NA,1898,administrative,Clerk in Charge,Canton Telegraph Office,NA,administration: local,ADML,ADML,administration,administration: local,Guangzhou,Guangdong,Shanghai-Guangzhou,Guangzhou,S2
